word_index,word,senses,gold_image,gold_sense,generated_ambiguous_sentence,generated_caption,predicted_answer
4362,swallow,"{""senses"": [""a small amount of liquid food"", ""the act of swallowing"", ""small long-winged songbird noted for swift graceful flight and the regularity of its migrations""]}",image.11950.jpg,3,A quick swallow helped him recover.,"The image shows two birds, specifically swallows, perched on a stump.

In the sentence ""A quick swallow helped him recover,"" ""swallow"" refers to a rapid gulp or act of consuming something, likely food or drink, which aided in his recovery.",2
11580,embolism,"{""senses"": [""an insertion into a calendar"", ""occlusion of a blood vessel by an embolus (a loose clot or air bubble or other particle)""]}",image.9534.jpg,2,The team handled the embolism with a revised protocol.,"The red circle highlights an area of opacity in the left lung on the chest X-ray, and the CT scan shows a thrombus extending into the pulmonary artery. 

The sentence implies the medical team addressed a pulmonary embolism, likely utilizing a modified treatment plan based on imaging findings such as the opacity and thrombus.",2
1722,stamp,"{""senses"": [""the distinctive form in which a thing is made"", ""a type or class"", ""a symbol that is the result of printing or engraving"", ""a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"", ""something that can be used as an official medium of payment"", ""a small piece of adhesive paper that is put on an object to show that a government tax has been paid"", ""machine consisting of a heavy bar that moves vertically for pounding or crushing ores"", ""a block or die used to imprint a mark or design"", ""a device incised to make an impression; used to secure a closing or to authenticate documents""]}",image.4522.jpg,4,She collected the stamp with care.,"The image shows a postage stamp from El Salvador. ""She collected the stamp with care"" refers to the physical object—the rectangular piece of paper with the design—that was used for mailing and is now a collectible item.",4
2541,instrumentation,"{""senses"": [""an artifact (or system of artifacts) that is instrumental in accomplishing some end"", ""the act of providing or using the instruments needed for some implementation"", ""the instruments called for in a musical score or arrangement for a band or orchestra"", ""the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments""]}",image.7090.jpg,3,The director reviewed the instrumentation before rehearsals began.,"The image showcases a large orchestra and choir, featuring a wide array of instruments—strings (violins, violas, cellos, basses), woodwinds (flutes, oboes, clarinets, bassoons), brass (trumpets, trombones, horns), percussion (timpani, drums, cymbals), and potentially other orchestral instruments like a harp. The director reviewing the instrumentation signifies a check of the ensemble's composition and balance to ensure the planned musical textures and timbres are represented and ready for the rehearsals.",3
5802,blueberry,"{""senses"": [""any of numerous shrubs of the genus Vaccinium bearing blueberries"", ""sweet edible dark-blue berries of either low-growing or high-growing blueberry plants""]}",image.10129.jpg,2,The gardener praised the blueberry's potential.,"The image shows a container filled with blueberries, small, round, blue-purple berries. The sentence ""The gardener praised the blueberry's potential"" refers to these berries, suggesting the gardener believes they will grow well or produce a bountiful harvest.",2
8162,tatting,"{""senses"": [""needlework consisting of handmade lace made by looping and knotting a single thread on a small shuttle"", ""the act or art of making handmade lace""]}",image.3828.jpg,1,The afternoon was filled with tatting and tea.,"The image shows a shuttle used for tatting, a traditional needlework technique creating decorative lace. ""Tatting"" in the sentence ""The afternoon was filled with tatting and tea"" refers to the leisurely activity of creating this type of lace, enjoyed alongside a relaxing cup of tea.",1
8941,irrigation,"{""senses"": [""supplying dry land with water by means of ditches etc"", ""(medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution""]}",image.2345.jpg,1,The area required careful irrigation to ensure a healthy outcome.,"The image clearly depicts a center pivot irrigation system in action, spraying water over a field of crops. The sentence ""The area required careful irrigation to ensure a healthy outcome"" refers to this process – the controlled and deliberate application of water using this type of system to support plant growth and achieve a successful harvest.",1
1517,mackintosh,"{""senses"": [""a lightweight waterproof (usually rubberized) fabric"", ""a waterproof raincoat made of rubberized fabric"", ""A popular variety of culinary and dessert apple characterized by its deep red (sometimes green-blushed) skin, tart-sweet flavor, and tender, bright white flesh.""]}",image.944.jpg,2,A bright red mackintosh was left on the bench after the picnic.,"The long, dark coat in the image represents a mackintosh. It refers to a waterproof coat, typically made of rubberized fabric, as depicted by the coat's material and length. ""A bright red mackintosh was left on the bench after the picnic"" implies a similar waterproof coat, likely a vibrant color, was abandoned.",2
11769,father,"{""senses"": [""a male parent (also used as a term of address to your father)"", ""the founder of a family"", ""`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military"", ""(Christianity) any of about 70 theologians in the period from the 2nd to the 7th century whose writing established and confirmed official church doctrine; in the Roman Catholic Church some were later declared saints and became Doctor of the Church; the best known Latin Church Fathers are Ambrose, Augustine, Gregory the Great, and Jerome; those who wrote in Greek include Athanasius, Basil, Gregory Nazianzen, and John Chrysostom"", ""a person who holds an important or distinguished position in some organization"", ""God when considered as the first person in the Trinity"", ""a person who founds or establishes some institution"", ""the head of an organized crime family""]}",image.4306.jpg,1,My father built a firm foundation.,"The man holding the child represents a father figure, implying guidance, support, and care. The sentence ""My father built a firm foundation"" suggests stability and strength, which is reflected in the man's posture and his protective hold on the child.",1
5964,maroon,"{""senses"": [""a person who is stranded (as on an island)"", ""a dark purplish-red to dark brownish-red color"", ""an exploding firework used as a warning signal""]}",image.6768.jpg,2,The ship appeared maroon against the horizon.,"The chestnut shell exhibits a rich, dark reddish-brown hue, closely resembling the color 'maroon'. 

The ship appearing 'maroon' against the horizon suggests a similar deep reddish-brown color contrasting with the lighter sky.",2
10596,angelus,"{""senses"": [""the sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited"", ""a prayer said 3 times a day by Roman Catholics in memory of the Annunciation""]}",image.8433.jpg,1,The angelus echoed through the valley.,"The image shows a large bronze bell inscribed with text. The bell's resonant sound, as suggested by the sentence ""The angelus echoed through the valley,"" represents the auditory experience of hearing the bell's call.",1
10515,orchestra,"{""senses"": [""a musical organization consisting of a group of instrumentalists including string players"", ""seating on the main floor in a theater""]}",image.4066.jpg,1,Our evening was wonderful in the orchestra.,"The image shows a military band, specifically a group of musicians playing drums and brass instruments, dressed in elaborate uniforms.

""Our evening was wonderful in the orchestra"" can refer to an enjoyable experience watching or participating in a musical performance by this type of ensemble, suggesting a formal and elaborate musical event.",1
1983,citron,"{""senses"": [""large lemonlike fruit with thick aromatic rind; usually preserved"", ""thorny evergreen small tree or shrub of India widely cultivated for its large lemonlike fruits that have thick warty rind""]}",image.411.jpg,1,He admired the thick rind of the citron growing in the garden.,"The image shows several large, yellow, and textured fruits hanging from a tree – these are citrons. The sentence ""He admired the thick rind of the citron growing in the garden"" refers to the distinct, bumpy, and substantial outer layer of these fruits visible in the picture, which is a characteristic feature of citrons.",1
3225,balsam,"{""senses"": [""any seed plant yielding balsam"", ""any of various fragrant oleoresins used in medicines and perfumes"", ""an ointment containing a fragrant resin""]}",image.12959.jpg,1,The package contained balsam.,"The image depicts a botanical illustration of *Balsamodendron Guianense*.

The package contained balsam, referring to the plant's aromatic resin or essential oil, potentially extracted from it for medicinal or fragrance purposes.",2
10655,stoma,"{""senses"": [""a minute epidermal pore in a leaf or stem through which gases and water vapor can pass"", ""a mouth or mouthlike opening (especially one created by surgery on the surface of the body to create an opening to an internal organ)""]}",image.15118.jpg,1,Changes in the stoma affected the surrounding environment.,"The oval-shaped opening in the leaf's surface is the stoma. Changes in its size—opening or closing—influence gas exchange (like carbon dioxide intake and oxygen release) and water vapor regulation, thereby impacting the leaf's immediate microclimate and overall plant hydration.",1
10950,tripe,"{""senses"": [""lining of the stomach of a ruminant (especially a bovine) used as food"", ""nonsensical talk or writing""]}",image.14799.jpg,1,His main offering was tripe.,"The image shows pieces of tripe displayed for sale. ""His main offering was tripe"" refers to the vendor’s primary product being the various cuts of tripe visible in the image.",1
11831,action,"{""senses"": [""something done (usually as opposed to something said)"", ""the state of being active"", ""a military engagement"", ""a process existing in or produced by nature (rather than by the intent of human beings)"", ""the series of events that form a plot"", ""the trait of being active and energetic and forceful"", ""the operating part that transmits power to a mechanism"", ""a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong"", ""an act by a government body or supranational organization"", ""the most important or interesting work or activity in a specific area or field""]}",image.2440.jpg,7,"After years of neglect, the clock needed action to return to its former glory.","The wooden mechanism of the piano, comprised of levers, hammers, and other moving parts, is the 'action'. After years of neglect, the clock needed action to return to its former glory, referencing the restoration and repair of the piano’s intricate workings to restore its sound and functionality.",7
4424,cockpit,"{""senses"": [""compartment where the pilot sits while flying the aircraft"", ""a pit for cockfights"", ""seat where the driver sits while driving a racing car""]}",image.7506.jpg,1,"He felt isolated in the cockpit, the weight of expectation pressing down on him.","The central area of the image, containing the pilots' seats and the array of instruments and controls directly in front of them, represents the cockpit. In the sentence, ""He felt isolated in the cockpit,"" it refers to this enclosed space, emphasizing the pilot's solitude and the responsibility of controlling the aircraft, which contributes to the feeling of pressure.",1
12671,stabilizer,"{""senses"": [""a chemical that is added to a solution or mixture or suspension to maintain it in a stable or unchanging state"", ""airfoil consisting of a device for stabilizing an aircraft"", ""a device for making something stable""]}",image.6401.jpg,2,Repairing the stabilizer was necessary for the continued operation of the craft.,"The pointed structure at the top of the image, connecting the wings, is the stabilizer. Repairing this stabilizer—the vertical fin—was necessary for the continued operation of the craft because it maintains directional stability and prevents the plane from yawing.",2
3448,dance,"{""senses"": [""an artistic form of nonverbal communication"", ""a party of people assembled for dancing"", ""taking a series of rhythmical steps (and movements) in time to music"", ""a party for social dancing""]}",image.15038.jpg,3,We discussed whether to dance or simply listen.,"The image depicts ballroom dancers in motion, showcasing a formal, choreographed dance. 

In the sentence ""We discussed whether to dance or simply listen,"" ""dance"" refers to participating in this type of structured, partnered movement—the activity these dancers are engaged in.",3
1348,duet,"{""senses"": [""two items of the same kind"", ""two performers or singers who perform together"", ""a pair who associate with one another"", ""a musical composition for two performers"", ""(ballet) a dance for two people (usually a ballerina and a danseur noble)""]}",image.9985.jpg,2,The argument and the apology created a strange duet in the hallway.,"The man supporting the woman creates a visual representation of a duet, as they are performing a paired action—one lifting, the other balanced—working together to achieve a shared pose. The argument and the apology created a strange duet in the hallway, like two voices intertwining in an unexpected and perhaps dissonant harmony.",3
12250,doctor,"{""senses"": [""a licensed medical practitioner"", ""(Roman Catholic Church) a title conferred on 33 saints who distinguished themselves through the orthodoxy of their theological teaching"", ""children take the roles of physician or patient or nurse and pretend they are at the physician's office"", ""a person who holds Ph.D. degree (or the equivalent) from an academic institution""]}",image.2021.jpg,4,The doctor’s research practice in the field informed a crucial consultation.,"The image depicts a person wearing academic regalia, including a mortarboard (doctor's cap) and doctoral gown, signifying a doctor of philosophy or another doctoral degree. Within the sentence, ""doctor"" refers to this academic role; the research practice stemming from this advanced scholarly training informed the consultation.",4
928,hogan,"{""senses"": [""United States golfer who won many major golf tournaments (1912-1997)"", ""a Navajo lodge covered with earth; traditionally built with the entrance facing east""]}",image.7447.jpg,2,The family admired the hogan from a distance.,"The image shows a traditional Navajo dwelling called a hogan, characterized by its dome-shaped structure made of logs and earth. ""The family admired the hogan from a distance"" refers to them appreciating the architectural style and cultural significance of this unique earthen home.",2
6489,pinwheel,"{""senses"": [""perennial subshrub of Tenerife having leaves in rosettes resembling pinwheels"", ""a wheel that has numerous pins that are set at right angles to its rim"", ""a toy consisting of vanes of colored paper or plastic that is pinned to a stick and spins when it is pointed into the wind"", ""a circular firework that spins round and round emitting colored fire""]}",image.4245.jpg,1,"The garden included a delicate pinwheel, adding movement to the landscape.","The flower clusters resemble the shape and arrangement of the blades of a pinwheel, with their spiraling pattern and radiating petals. The sentence suggests a playful, dynamic element introduced to the garden, much like the spinning motion of a pinwheel.",3
8307,indicator,"{""senses"": [""a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time"", ""a signal for attracting attention"", ""a device for showing the operating condition of some system"", ""(chemistry) a substance that changes color to indicate the presence of some ion or substance; can be used to indicate the completion of a chemical reaction or (in medicine) to test for a particular reaction""]}",image.15549.jpg,3,The indicator provided crucial feedback on the system’s performance.,"The orange lights on the side of the car are indicators. The sentence suggests these indicators signal a change in direction or alert to a potential issue, providing feedback on the car's operational status.",3
11709,mallet,"{""senses"": [""a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball"", ""a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc."", ""a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing""]}",image.6502.jpg,3,The team needed a mallet for the final adjustments.,"The image shows a wooden mallet, a tool with a large, wooden head attached to a handle. In the sentence ""The team needed a mallet for the final adjustments,"" it refers to this type of tool used for gentle striking and shaping, likely to make precise or delicate adjustments.",3
4164,jab,"{""senses"": [""a sharp hand gesture (resembling a blow)"", ""a quick short straight punch"", ""the act of touching someone suddenly with your finger or elbow""]}",image.13071.jpg,2,He made a jab in the heated discussion.,"The fighter on the right is extending his arm forward, a characteristic motion of a jab in boxing or kickboxing. 

In the sentence ""He made a jab in the heated discussion,"" it means a quick, sharp, and often critical remark, similar to the swiftness and precision of a jab in fighting.",1
6130,fruitcake,"{""senses"": [""a whimsically eccentric person"", ""a rich cake containing dried fruit and nuts and citrus peel and so on""]}",image.14923.jpg,2,The family was surprised by the enthusiasm for the fruitcake.,"The image shows several slices of fruitcake on a plate, densely packed with various dried fruits like raisins, cherries, and candied peel. The sentence 'The family was surprised by the enthusiasm for the fruitcake' implies an unexpected positive reaction to this traditionally divisive dessert, as demonstrated by the presentation of the fruitcake slices.",2
5509,niche,"{""senses"": [""a position particularly well suited to the person who occupies it"", ""a small concavity"", ""an enclosure that is set back or indented"", ""(ecology) the status of an organism within its environment and community (affecting its survival as a species)""]}",image.14101.jpg,4,The artist found a niche in the local landscape.,"The dense, overgrown area of tall grass and shrubs represents a niche. The artist found a niche in the local landscape, capturing the unique beauty of this wild, undisturbed corner.",1
465,cone,"{""senses"": [""any cone-shaped artifact"", ""a shape whose base is a circle and whose sides taper up to a point"", ""cone-shaped mass of ovule- or spore-bearing scales or bracts"", ""a visual receptor cell in the retina that is sensitive to bright light and to color""]}",image.5867.jpg,3,He carried the cone carefully from the woods.,"The image clearly depicts a pine cone, a seed-bearing structure of a conifer. 

In the sentence, ""He carried the cone carefully from the woods,"" the word 'cone' refers to this pine cone, a natural object found in forested areas.",3
11849,seigniory,"{""senses"": [""the estate of a seigneur"", ""the position and authority of a feudal lord""]}",image.199.jpg,2,"Maintaining the boundaries of the seigniory proved surprisingly difficult, despite the apparent loyalty of the people.","The image depicts a scene from the Bayeux Tapestry, showing Harold being crowned king, while William gestures assertively. ""Seigniory"" in this context signifies William's claim to the English throne and the territory he intends to control as its ruler. Maintaining the boundaries of this newly claimed territory—his seigniory—would be challenging, even if the population initially appeared compliant.",2
6919,guy,"{""senses"": [""an informal term for a youth or man"", ""an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day"", ""a cable, wire, or rope that is used to brace something (especially a tent)""]}",image.3713.jpg,3,The camp needed the guy during the storm.,"The bright orange structure with wires attached is the ""guy."" In the sentence, ""The camp needed the guy during the storm,"" it refers to the stabilizing structure holding the cables taut, essential for withstanding strong winds.",3
8830,spinach,"{""senses"": [""southwestern Asian plant widely cultivated for its succulent edible dark green leaves"", ""dark green leaves; eaten cooked or raw in salads""]}",image.12620.jpg,1,The landscape looked better with spinach.,"The image depicts spinach plants, identifiable by their dark green, oval-shaped leaves and flower stalks. In the sentence ""The landscape looked better with spinach,"" ""spinach"" refers to these plants being present in or contributing to the scenery, enhancing its visual appeal.",1
10984,giveaway,"{""senses"": [""a gift of public land or resources for the private gain of a limited group"", ""an unintentional disclosure"", ""a television or radio program in which contestants compete for awards""]}",image.3555.jpg,3,"Everyone followed the giveaway with great interest, then speculated wildly.","The image shows a game show-like setting with a device resembling a prize dispenser and a monetary amount ($6,563) displayed.

In this context, ""giveaway"" refers to the process of the device dispensing a prize or money to the contestants, which everyone is attentively watching and subsequently discussing possibilities about.",3
5290,boil,"{""senses"": [""a painful sore with a hard core filled with pus"", ""the temperature at which a liquid boils at sea level"", ""to become so hot that bubbles are formed in a liquid and rise to the top"", "" to cook (something) in water that is boiling"", ""to feel a strong emotion (such as anger)""]}",image.10737.jpg,5,It began to boil after the treatment.,"The facial expression suggests anger or frustration. ""It began to boil after the treatment"" could refer to the person's emotions rising or intensifying following the treatment, mirroring the feeling of something bubbling up.",5
1094,cohesion,"{""senses"": [""the state of cohering or sticking together"", ""(botany) the process in some plants of parts growing together that are usually separate (such as petals)"", ""(physics) the intermolecular force that holds together the molecules in a solid or liquid""]}",image.10144.jpg,3,The quality of the new alloy hinged on its cohesion.,"The glass sphere demonstrates cohesion—its perfectly round shape and structural integrity depend on the atoms holding together. The alloy’s cohesion, like the sphere's, determines its strength and stability.",3
5183,pastry,"{""senses"": [""a dough of flour and water and shortening"", ""any of various baked foods made of dough or batter""]}",image.5246.jpg,2,His skill with pastry was evident.,"The image showcases an assortment of cookies and bars, all fitting the broad definition of pastry. ""His skill with pastry was evident"" refers to his ability to create these diverse and delicious baked goods.",2
6296,director,"{""senses"": [""someone who controls resources and expenditures"", ""member of a board of directors"", ""someone who supervises the actors and directs the action in the production of a show"", ""the person who directs the making of a film"", ""the person who leads a musical group""]}",image.12577.jpg,4,"The director presented a new vision for the project, requesting changes from the team.","The man in the dark sweater, standing and gesturing towards the camera setup, likely represents the director. The sentence ""The director presented a new vision for the project, requesting changes from the team"" aligns with his position as he is actively communicating and directing adjustments to the filming process.",4
12551,shire,"{""senses"": [""a former administrative district of England; equivalent to a county"", ""British breed of large heavy draft horse""]}",image.12285.jpg,2,The land needed a strong shire.,"The horse in the image is a Shire horse, a breed known for its strength and use in pulling heavy loads. ""The land needed a strong shire"" implies the land needed a strong horse, like a Shire horse, to work it.",2
1584,treacle,"{""senses"": [""a pale cane syrup"", ""writing or music that is excessively sweet and sentimental""]}",image.6124.jpg,1,"The final layer was treacle, smoothing over the rough edges.","The glossy, amber-colored liquid within the circular casing resembles treacle, a thick, dark syrup. In the sentence ""The final layer was treacle, smoothing over the rough edges,"" the image suggests that the treacle is used as a viscous, coating substance, its smooth texture visually aligning with the phrase ""smoothing over the rough edges.""",1
8716,cakewalk,"{""senses"": [""a strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake"", ""an easy accomplishment""]}",image.7214.jpg,1,"The crowd watched, captivated by his cakewalk, unsure if it was skill or luck.","The image depicts a man in a white suit raising his arms in triumph while a couple in formal attire performs a stylized, prancing dance. The crowd in the background appears to be enjoying the performance, with a decorated cake presented nearby. The crowd watched, captivated by his cakewalk, unsure if it was skill or luck, referring to the performance of this elaborate, theatrical dance that originated from plantation traditions, now displayed as a competitive exhibition.",1
9749,planetarium,"{""senses"": [""a building housing an instrument for projecting the positions of the planets onto a domed ceiling"", ""an optical device for projecting images of celestial bodies and other astronomical phenomena onto the inner surface of a hemispherical dome"", ""an apparatus or model for representing the solar systems""]}",image.10934.jpg,1,The planetarium's design reflected a commitment to both education and wonder.,"The image clearly shows a building labeled ""PLANETÁRIUM."" Its distinctive spherical design, reminiscent of a celestial body, visually represents the wonder of space. The architecture, with its clean lines and grand scale, also suggests a place dedicated to learning and education. Thus, the planetarium's design reflected a commitment to both education and wonder.",1
9967,leg,"{""senses"": [""a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle"", ""a structure in animals that is similar to a human leg and used for locomotion"", ""one of the supports for a piece of furniture"", ""a part of a forked or branching shape"", ""the limb of an animal used for food"", ""a prosthesis that replaces a missing leg"", ""a cloth covering consisting of the part of a pair of trousers that covers a person's leg"", ""(nautical) the distance traveled by a sailing vessel on a single tack"", ""a section or portion of a journey or course""]}",image.1785.jpg,1,"After the long hike, he finally rested his leg.","The image shows two legs wearing Adidas running shoes. 

The sentence ""After the long hike, he finally rested his leg"" refers to the lower portion of the body, specifically the limb extending from the hip to the ankle, as seen in the image, likely tired from the hike.",1
6777,crawl,"{""senses"": [""a very slow movement"", ""a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick"", ""a slow mode of locomotion on hands and knees or dragging the body""]}",image.4527.jpg,3,"Exhausted, she could only crawl the last mile.","The man is positioned low to the ground, supporting himself with his hands and knees as he moves forward through muddy terrain, illustrating the action of crawling. Exhausted, she could only crawl the last mile. – Here, ""crawl"" suggests a slow, laborious movement due to fatigue, similar to how the man is struggling through the mud in the image.",3
2056,noise,"{""senses"": [""sound of any kind (especially unintelligible or dissonant sound)"", ""the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience"", ""electrical or acoustic activity that can disturb communication"", ""a loud outcry of protest or complaint"", ""incomprehensibility resulting from irrelevant information or meaningless facts or remarks"", ""the quality of lacking any predictable order or plan""]}",image.11847.jpg,2,The noise in the system was unsettling.,"The dense traffic, with numerous vehicles close together and likely in motion, suggests a high level of auditory disturbance. ""The noise in the system was unsettling"" can be interpreted as referring to the chaotic and overwhelming soundscape created by the vehicles—an unsettling sensory overload.",2
5167,survey,"{""senses"": [""a detailed critical inspection"", ""short descriptive summary (of events)"", ""the act of looking or seeing or observing""]}",image.6035.jpg,3,The survey of the area showed little change over the past decade.,"The person using the theodolite is directly involved in surveying the land near the shoreline. The survey of the area showed little change over the past decade, implying that repeated measurements and observations, as demonstrated by the theodolite, were taken over time to monitor the coastline.",1
3366,rook,"{""senses"": [""(chess) the piece that can move any number of unoccupied squares in a direction parallel to the sides of the chessboard"", ""common gregarious Old World bird about the size and color of the American crow""]}",image.11918.jpg,1,"The dark rook moved quickly, dominating the landscape.","The image shows a white chess rook, a piece that moves horizontally or vertically. In the sentence ""The dark rook moved quickly, dominating the landscape,"" ""rook"" refers to a chess piece, likely a black one despite the description, that swiftly controls a significant portion of the chessboard.",1
3029,throw,"{""senses"": [""the act of throwing (propelling something with a rapid movement of the arm and wrist)"", ""a single chance or instance"", ""the maximum movement available to a pivoted or reciprocating piece by a cam"", ""bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"", ""casting an object in order to determine an outcome randomly""]}",image.3460.jpg,1,He decided to throw it towards the end with everything he had.,"The image shows a baseball player in the middle of throwing a baseball. The sentence ""He decided to throw it towards the end with everything he had"" refers to the action the player is performing – releasing the ball with force and aiming it towards a target.",1
5633,gig,"{""senses"": [""long and light rowing boat; especially for racing"", ""an implement with a shaft and barbed point used for catching fish"", ""a cluster of hooks (without barbs) that is drawn through a school of fish to hook their bodies; used when fish are not biting"", ""tender that is a light ship's boat; often for personal use of captain"", ""small two-wheeled horse-drawn carriage; with two seats and no hood"", ""a booking for musicians""]}",image.2266.jpg,6,It took a lot of work to get the gig organized.,"The image shows a musician performing on stage in front of a large audience. 

""It took a lot of work to get the gig organized"" refers to the entire event – the concert itself, including the booking of the venue, the musician, the stage setup, and the promotion to attract the audience.",6
8514,striper,"{""senses"": [""a serviceman who wears stripes on the uniform to indicate rank or years of service"", ""marine food and game fish with dark longitudinal stripes; migrates upriver to spawn; sometimes placed in the genus Morone""]}",image.15880.jpg,2,The old striper returned to the river every spring.,"The stripes on the fish's body.

""Striper"" refers to the striped fish, indicating it's a striped bass. The sentence implies an older, experienced striped bass returning to the river annually.",2
6948,hedge,"{""senses"": [""a fence formed by a row of closely planted shrubs or bushes"", ""any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change"", ""an intentionally noncommittal or ambiguous statement""]}",image.1111.jpg,1,A hedge around the property offered some peace of mind.,"The long, dense row of shrubs and trees forming a boundary line between the fields represents the hedge. In the sentence, 'A hedge around the property offered some peace of mind,' it similarly suggests a boundary or barrier providing a sense of security and tranquility.",1
