word_index,word,senses,gold_image,gold_sense,ambiguous_sentence_prompt
147,state,"{""noun_senses"": [""the territory occupied by one of the constituent administrative districts of a nation"", ""the way something is with respect to its main attributes"", ""the group of people comprising the government of a sovereign state"", ""a politically organized body of people under a single government"", ""(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container)"", ""a state of depression or agitation"", ""the territory occupied by a nation"", ""the federal department in the United States that sets and maintains foreign policies""]}",image.2210.jpg,8,"Generate an ambiguous sentence for the noun 'state' that can be interpreted as:
Noun senses:
1) the territory occupied by one of the constituent administrative districts of a nation
2) the way something is with respect to its main attributes
3) the group of people comprising the government of a sovereign state
4) a politically organized body of people under a single government
5) (chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container)
6) a state of depression or agitation
7) the territory occupied by a nation
8) the federal department in the United States that sets and maintains foreign policies
Generate a natural ambiguous sentence using polysemous word 'state', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'state' should be interpreted as 'the federal department in the United States that sets and maintains foreign policies'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
596,dol,"{""noun_senses"": [""a unit of pain intensity"", ""the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913""]}",image.1695.jpg,2,"Generate an ambiguous sentence for the noun 'dol' that can be interpreted as:
Noun senses:
1) a unit of pain intensity
2) the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913
Generate a natural ambiguous sentence using polysemous word 'dol', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'dol' should be interpreted as 'the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
104,farmer,"{""noun_senses"": [""a person who operates a farm"", ""United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)"", ""an expert on cooking whose cookbook has undergone many editions (1857-1915)""]}",image.1621.jpg,1,"Generate an ambiguous sentence for the noun 'farmer' that can be interpreted as:
Noun senses:
1) a person who operates a farm
2) United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)
3) an expert on cooking whose cookbook has undergone many editions (1857-1915)
Generate a natural ambiguous sentence using polysemous word 'farmer', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'farmer' should be interpreted as 'a person who operates a farm'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
172,herder,"{""noun_senses"": [""German philosopher who advocated intuition over reason (1744-1803)"", ""someone who drives a herd""]}",image.2542.jpg,2,"Generate an ambiguous sentence for the noun 'herder' that can be interpreted as:
Noun senses:
1) German philosopher who advocated intuition over reason (1744-1803)
2) someone who drives a herd
Generate a natural ambiguous sentence using polysemous word 'herder', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'herder' should be interpreted as 'someone who drives a herd'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
627,cis,"{""noun_senses"": [""an alliance made up of states that had been Soviet Socialist Republics in the Soviet Union prior to its dissolution in Dec 1991"", ""a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second""]}",image.4456.jpg,1,"Generate an ambiguous sentence for the noun 'cis' that can be interpreted as:
Noun senses:
1) an alliance made up of states that had been Soviet Socialist Republics in the Soviet Union prior to its dissolution in Dec 1991
2) a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second
Generate a natural ambiguous sentence using polysemous word 'cis', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'cis' should be interpreted as 'an alliance made up of states that had been Soviet Socialist Republics in the Soviet Union prior to its dissolution in Dec 1991'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
843,nit,"{""noun_senses"": [""a luminance unit equal to 1 candle per square meter measured perpendicular to the rays from the source"", ""egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing""]}",image.636.jpg,2,"Generate an ambiguous sentence for the noun 'nit' that can be interpreted as:
Noun senses:
1) a luminance unit equal to 1 candle per square meter measured perpendicular to the rays from the source
2) egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing
Generate a natural ambiguous sentence using polysemous word 'nit', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'nit' should be interpreted as 'egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
928,hogan,"{""noun_senses"": [""United States golfer who won many major golf tournaments (1912-1997)"", ""a Navajo lodge covered with earth; traditionally built with the entrance facing east""]}",image.7447.jpg,2,"Generate an ambiguous sentence for the noun 'hogan' that can be interpreted as:
Noun senses:
1) United States golfer who won many major golf tournaments (1912-1997)
2) a Navajo lodge covered with earth; traditionally built with the entrance facing east
Generate a natural ambiguous sentence using polysemous word 'hogan', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'hogan' should be interpreted as 'a Navajo lodge covered with earth; traditionally built with the entrance facing east'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
993,mead,"{""noun_senses"": [""United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978)"", ""United States philosopher of pragmatism (1863-1931)"", ""made of fermented honey and water""]}",image.4290.jpg,3,"Generate an ambiguous sentence for the noun 'mead' that can be interpreted as:
Noun senses:
1) United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978)
2) United States philosopher of pragmatism (1863-1931)
3) made of fermented honey and water
Generate a natural ambiguous sentence using polysemous word 'mead', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'mead' should be interpreted as 'made of fermented honey and water'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
1486,jay,"{""noun_senses"": [""United States diplomat and jurist who negotiated peace treaties with Britain and served as the first chief justice of the United States Supreme Court (1745-1829)"", ""crested largely blue bird""]}",image.7649.jpg,2,"Generate an ambiguous sentence for the noun 'jay' that can be interpreted as:
Noun senses:
1) United States diplomat and jurist who negotiated peace treaties with Britain and served as the first chief justice of the United States Supreme Court (1745-1829)
2) crested largely blue bird
Generate a natural ambiguous sentence using polysemous word 'jay', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'jay' should be interpreted as 'crested largely blue bird'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
1770,bolshevik,"{""noun_senses"": [""emotionally charged terms used to refer to extreme radicals or revolutionaries"", ""a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party""]}",image.8145.jpg,2,"Generate an ambiguous sentence for the noun 'bolshevik' that can be interpreted as:
Noun senses:
1) emotionally charged terms used to refer to extreme radicals or revolutionaries
2) a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party
Generate a natural ambiguous sentence using polysemous word 'bolshevik', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'bolshevik' should be interpreted as 'a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
1843,wren,"{""noun_senses"": [""English architect who designed more than fifty London churches (1632-1723)"", ""any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects""]}",image.4477.jpg,2,"Generate an ambiguous sentence for the noun 'wren' that can be interpreted as:
Noun senses:
1) English architect who designed more than fifty London churches (1632-1723)
2) any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects
Generate a natural ambiguous sentence using polysemous word 'wren', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'wren' should be interpreted as 'any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
2317,holly,"{""noun_senses"": [""any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges"", ""United States rock star (1936-1959)""]}",image.2228.jpg,1,"Generate an ambiguous sentence for the noun 'holly' that can be interpreted as:
Noun senses:
1) any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges
2) United States rock star (1936-1959)
Generate a natural ambiguous sentence using polysemous word 'holly', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'holly' should be interpreted as 'any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
2610,tamale,"{""noun_senses"": [""a city in northern Ghana"", ""corn and cornmeal dough stuffed with a meat mixture then wrapped in corn husks and steamed""]}",image.3747.jpg,2,"Generate an ambiguous sentence for the noun 'tamale' that can be interpreted as:
Noun senses:
1) a city in northern Ghana
2) corn and cornmeal dough stuffed with a meat mixture then wrapped in corn husks and steamed
Generate a natural ambiguous sentence using polysemous word 'tamale', once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'tamale' should be interpreted as 'corn and cornmeal dough stuffed with a meat mixture then wrapped in corn husks and steamed'. However, the sentence should not imply any of the given definitions too strongly.
Do not highlight the word in the sentence.
Explain how suggesting sentence can be interpreted in multiple meanings."
