word_index,word,senses,gold_image,gold_sense,sense_verification
2523,bake,"{""verb_senses"": [""cook and make edible by putting in a hot oven"", ""prepare with dry heat in an oven"", ""heat by a natural force"", ""be very hot, due to hot weather or exposure to the sun""]}",image.5765.jpg,1,correct
2528,walnut,"{""noun_senses"": [""nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell"", ""hard dark-brown wood of any of various walnut trees; used especially for furniture and paneling"", ""any of various trees of the genus Juglans""]}",image.12008.jpg,1,correct
2532,gull,"{""noun_senses"": [""a person who is gullible and easy to take advantage of"", ""mostly white aquatic bird having long pointed wings and short legs""]}",image.2338.jpg,2,correct
2533,insubordination,"{""noun_senses"": [""defiance of authority"", ""an insubordinate act""]}",image.8274.jpg,2,correct
2540,watchdog,"{""noun_senses"": [""a guardian or defender against theft or illegal practices or waste"", ""a dog trained to guard property""]}",image.11603.jpg,2,Correct.
2541,instrumentation,"{""noun_senses"": [""an artifact (or system of artifacts) that is instrumental in accomplishing some end"", ""the act of providing or using the instruments needed for some implementation"", ""the instruments called for in a musical score or arrangement for a band or orchestra"", ""the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments""]}",image.7090.jpg,3,correct
2542,grouper,"{""noun_senses"": [""flesh of a saltwater fish similar to sea bass"", ""usually solitary bottom sea basses of warm seas""]}",image.5717.jpg,2,correct
2543,facade,"{""noun_senses"": [""the face or front of a building"", ""a showy misrepresentation intended to conceal something unpleasant""]}",image.959.jpg,1,correct
2544,jaundice,"{""noun_senses"": [""yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia"", ""a rough and bitter manner""]}",image.14030.jpg,1,correct
2550,fraud,"{""noun_senses"": [""intentional deception resulting in injury to another person"", ""a person who makes deceitful pretenses"", ""something intended to deceive; deliberate trickery intended to gain an advantage""]}",image.6394.jpg,2,Correct.
2558,score,"{""noun_senses"": [""a number or letter indicating quality (especially of a student's performance)"", ""a written form of a musical composition; parts for different instruments appear on separate staves on large pages"", ""a number that expresses the accomplishment of a team or an individual in a game or contest"", ""a set of twenty members"", ""grounds"", ""the facts about an actual situation"", ""an amount due (as at a restaurant or bar)"", ""a slight surface cut (especially a notch that is made to keep a tally)"", ""a resentment strong enough to justify retaliation"", ""the act of scoring in a game or sport"", ""a seduction culminating in sexual intercourse""]}",image.11339.jpg,3,correct
2560,flail,"{""verb_senses"": [""give a thrashing to; beat hard"", ""move like a flail; thresh about""]}",image.1956.jpg,2,correct
2570,waste,"{""noun_senses"": [""any materials unused and rejected as worthless or unwanted"", ""useless or profitless activity; using or expending or consuming thoughtlessly or carelessly"", ""the trait of wasting resources"", ""an uninhabited wilderness that is worthless for cultivation"", ""(law) reduction in the value of an estate caused by act or neglect""]}",image.8886.jpg,1,correct
2579,garnish,"{""noun_senses"": [""something (such as parsley) added to a dish for flavor or decoration"", ""any decoration added as a trimming or adornment""]}",image.10722.jpg,1,correct
2600,graduate,"{""verb_senses"": [""receive an academic degree upon completion of one's studies"", ""confer an academic degree upon"", ""make fine adjustments or divide into marked intervals for optimal measuring""]}",image.7486.jpg,1,correct
2608,grip,"{""noun_senses"": [""the act of grasping"", ""the appendage to an object that is designed to be held in order to use or move it"", ""a portable rectangular container for carrying clothes"", ""the friction between a body and the surface on which it moves (as between an automobile tire and the road)"", ""worker who moves the camera around while a film or television show is being made"", ""an intellectual hold or understanding"", ""a flat wire hairpin whose prongs press tightly together; used to hold bobbed hair in place""]}",image.1074.jpg,5,correct
2615,grasp,"{""verb_senses"": [""hold firmly"", ""get the meaning of something""]}",image.3904.jpg,1,correct
2617,stoup,"{""noun_senses"": [""an archaic drinking vessel"", ""basin for holy water""]}",image.8591.jpg,2,correct
2621,launcher,"{""noun_senses"": [""armament in the form of a device capable of launching a rocket"", ""a device that launches aircraft from a warship""]}",image.6464.jpg,1,correct
2622,snow,"{""noun_senses"": [""precipitation falling from clouds in the form of ice crystals"", ""a layer of snowflakes (white crystals of frozen water) covering the ground"", ""English writer of novels about moral dilemmas in academe (1905-1980)"", ""street names for cocaine""]}",image.5958.jpg,1,correct
2623,knock,"{""noun_senses"": [""the sound of knocking (as on a door or in an engine or bearing)"", ""negative criticism"", ""a vigorous blow"", ""a bad experience"", ""the act of hitting vigorously""]}",image.7225.jpg,5,correct
2624,anvil,"{""noun_senses"": [""a heavy block of iron or steel on which hot metals are shaped by hammering"", ""the ossicle between the malleus and the stapes""]}",image.4503.jpg,1,correct
2626,grapple,"{""noun_senses"": [""a tool consisting of several hooks for grasping and holding; often thrown with a rope"", ""a dredging bucket with hinges like the shell of a clam"", ""the act of engaging in close hand-to-hand combat""]}",image.3840.jpg,3,correct
2627,launching,"{""noun_senses"": [""the act of moving a newly built vessel into the water for the first time"", ""the act of beginning something new"", ""the act of propelling with force""]}",image.8341.jpg,1,correct
2629,alabama,"{""noun_senses"": [""a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War"", ""a member of the Muskhogean people formerly living in what is now the state of Alabama"", ""a river in Alabama formed by the confluence of the Coosa and Tallapoosa Rivers near Montgomery; flows southwestward to become a tributary of the Mobile River"", ""the Muskhogean language of the Alabama""]}",image.2033.jpg,4,correct
2638,tamarind,"{""noun_senses"": [""long-lived tropical evergreen tree with a spreading crown and feathery evergreen foliage and fragrant flowers yielding hard yellowish wood and long pods with edible chocolate-colored acidic pulp"", ""large tropical seed pod with very tangy pulp that is eaten fresh or cooked with rice and fish or preserved for curries and chutneys""]}",image.4354.jpg,1,correct
2639,banishment,"{""noun_senses"": [""the state of being banished or ostracized (excluded from society by general consent)"", ""rejection by means of an act of banishing or proscribing someone""]}",image.2429.jpg,1,Correct.
2641,momentum,"{""noun_senses"": [""an impelling force or strength"", ""the product of a body's mass and its velocity""]}",image.7046.jpg,1,correct
2645,jog,"{""verb_senses"": [""continue talking or writing in a desultory manner"", ""even up the edges of a stack of paper, in printing"", ""run for exercise"", ""run at a moderately swift pace"", ""give a slight push to"", ""stimulate to remember""]}",image.2305.jpg,3,correct
2649,dash,"{""noun_senses"": [""distinctive and stylish elegance"", ""a quick run"", ""a footrace run at top speed"", ""a punctuation mark (-) used between parts of a compound word or between the syllables of a word when the word is divided at the end of a line of text"", ""the longer of the two telegraphic signals used in Morse code"", ""the act of moving with great haste""]}",image.12311.jpg,3,correct
2651,taco,"{""noun_senses"": [""(ethnic slur) offensive term for a person of Mexican descent"", ""a tortilla rolled cupped around a filling""]}",image.6234.jpg,2,correct
2652,refuel,"{""verb_senses"": [""provide with additional fuel, as of aircraft, ships, and cars"", ""take on more fuel, as of a plane, ship, or car""]}",image.9428.jpg,1,correct
2653,kip,"{""noun_senses"": [""sleep"", ""the basic unit of money in Laos"", ""a gymnastic exercise performed starting from a position with the legs over the upper body and moving to an erect position by arching the back and swinging the legs out and down while forcing the chest upright""]}",image.13731.jpg,2,correct
2657,musician,"{""noun_senses"": [""someone who plays a musical instrument (as a profession)"", ""artist who composes or conducts music as a profession""]}",image.3057.jpg,1,correct
2660,hag,"{""noun_senses"": [""an ugly evil-looking old woman"", ""eellike cyclostome having a tongue with horny teeth in a round mouth surrounded by eight tentacles; feeds on dead or trapped fishes by boring into their bodies""]}",image.8000.jpg,1,correct
2665,knitting,"{""noun_senses"": [""needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine"", ""creating knitted wear""]}",image.7238.jpg,2,correct
2668,may,"{""noun_senses"": [""the month following April and preceding June"", ""thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America""]}",image.11696.jpg,1,correct
2670,fillet,"{""noun_senses"": [""a boneless steak cut from the tenderloin of beef"", ""a longitudinal slice or boned side of a fish"", ""a bundle of sensory nerve fibers going to the thalamus"", ""a narrow headband or strip of ribbon worn as a headband"", ""fastener consisting of a narrow strip of welded metal used to join steel members""]}",image.10569.jpg,1,"incorrect

The image shows a slice of cured meat, likely prosciutto or another type of ham. This doesn't match the definition of a beef fillet (a boneless steak). A more appropriate sense of ""fillet"" in this context would be a thin slice of meat, relating to sense **2) a longitudinal slice or boned side of a fish**, even though it's not fish, the concept of a thin slice applies. However, ""fillet"" isn't the most accurate term for this type of cured meat; it's more commonly referred to as a slice or cut. Therefore, none of the provided definitions are truly accurate for the image."
2671,disposal,"{""noun_senses"": [""the power to use something or someone"", ""a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)"", ""the act or means of getting rid of something"", ""a kitchen appliance for disposing of garbage""]}",image.6255.jpg,4,correct
2672,chapel,"{""noun_senses"": [""a place of worship that has its own altar"", ""a service conducted in a place of worship that has its own altar""]}",image.4686.jpg,1,correct
2680,hear,"{""verb_senses"": [""perceive (sound) via the auditory sense"", ""get to know or become aware of, usually accidentally"", ""examine or hear (evidence or a case) by judicial process"", ""receive a communication from someone"", ""listen and pay attention""]}",image.8261.jpg,1,correct
2683,strings,"{""noun_senses"": [""the section of an orchestra that plays stringed instruments"", ""a lightweight cord"", ""stringed instruments that are played with a bow"", ""a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed"", ""a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding"", ""a linear sequence of symbols (characters or words or phrases)"", ""a tie consisting of a cord that goes through a seam around an opening"", ""a tough piece of fiber in vegetables, meat, or other food (especially the tough fibers connecting the two halves of a bean pod)"", ""(cosmology) a hypothetical one-dimensional subatomic particle having a concentration of energy and the dynamic properties of a flexible loop"", ""a collection of objects threaded on a single strand"", ""a necklace made by a stringing objects together""]}",image.6525.jpg,1,correct
2695,shelf,"{""noun_senses"": [""a support that consists of a horizontal surface for holding objects"", ""a projecting ridge on a mountain or submerged under water""]}",image.5597.jpg,1,correct
2715,pain,"{""noun_senses"": [""a symptom of some physical hurt or disorder"", ""emotional distress; a fundamental feeling that people try to avoid"", ""a somatic sensation of acute discomfort"", ""a bothersome annoying person"", ""something or someone that causes trouble; a source of unhappiness""]}",image.9081.jpg,1,correct
2716,mormons,"{""noun_senses"": [""church founded by Joseph Smith in 1830 with headquarters in Salt Lake City, Utah"", ""the ancient prophet whose writings were revealed to Joseph Smith who founded the Church of Jesus Christ of Latter-Day Saints"", ""a member of the Church of Jesus Christ of Latter-Day Saints""]}",image.4285.jpg,1,correct
2723,cochineal,"{""noun_senses"": [""a red dyestuff consisting of dried bodies of female cochineal insects"", ""Mexican red scale insect that feeds on cacti; the source of a red dye""]}",image.7067.jpg,2,correct
2736,nukes,"{""verb_senses"": [""strike at with firepower or bombs"", ""bomb with atomic weapons"", ""cook or heat in a microwave oven""]}",image.14260.jpg,2,correct
2742,attic,"{""noun_senses"": [""floor consisting of open space at the top of a house just below roof; often used for storage"", ""the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia"", ""informal terms for a human head"", ""(architecture) a low wall at the top of the entablature; hides the roof""]}",image.4755.jpg,1,correct
2744,fall,"{""verb_senses"": [""descend in free fall under the influence of gravity"", ""move downward and lower, but not necessarily all the way"", ""pass suddenly and passively into a state of body or mind"", ""come under, be classified or included"", ""fall from clouds"", ""suffer defeat, failure, or ruin"", ""die, as in battle or in a hunt"", ""touch or seem as if touching visually or audibly"", ""be captured"", ""occur at a specified time or place"", ""decrease in size, extent, or range"", ""yield to temptation or sin"", ""lose office or power"", ""to be given by assignment or distribution"", ""move in a specified direction"", ""be due"", ""lose one's chastity"", ""to be given by right or inheritance"", ""come into the possession of"", ""fall to somebody by assignment or lot"", ""be inherited by"", ""slope downward"", ""lose an upright position suddenly"", ""drop oneself to a lower or less erect position"", ""fall or flow in a certain way"", ""assume a disappointed or sad expression"", ""be cast down"", ""come out; issue"", ""be born, used chiefly of lambs"", ""begin vigorously"", ""go as if by falling"", ""come as if by falling""]}",image.14268.jpg,1,Correct.
2746,overpower,"{""verb_senses"": [""overcome by superior force"", ""overcome, as with emotions or perceptual stimuli""]}",image.194.jpg,1,correct
2756,shakedown,"{""noun_senses"": [""initial adjustments to improve the functioning or the efficiency and to bring to a more satisfactory state"", ""a very thorough search of a person or a place"", ""extortion of money (as by blackmail)""]}",image.2859.jpg,1,correct
